period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
7/1/14,7/31/14,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,205148.3684,0.00830974,0.039830949,212045.9045,0.031287435,0.093378213,130.0018255,-0.015512651,0.033612828,135.2708969,0.026621215,0.06281611,36668.93397,0.016292922,-0.012551647,29587.30881,-0.01003966,0.000861886,48620.53074,0.013222902,0.088192684,145949.9775,0.025971639,0.102990924,3.942208148,0.018298533,0.403753183,50.09219842,-1,-2,0.976792388,0.000803141,-0.004735425,0.194230373,-0.001725207,-0.05119555,0.084806462,-0.004018237,0.029173007,0.348367281,0.002324452,-0.024881193,,,9/24/23 0:00
6/1/21,6/30/21,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,405740,0.028352181,0.253030044,412583,0.017479861,0.08056113,181,0.03728501,0.202935983,178,-0.002198061,0.052147923,15065,0.156161242,0.843626711,15764,0.064672854,0.752520506,21848,0.102399546,0.509207155,36312,0.095963436,0.137321435,2.410356065,-0.132393237,-1.496891866,20,-1,-19,0.999932484,0.000930415,0.034040287,0.440622128,0.010063771,0.193345007,0.098715679,0.020197853,0.000521405,0.466485624,-0.026819966,0.008149789,,,9/24/23 14:20
12/1/21,12/31/21,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,383712,-0.000327737,0.149015588,370468,-0.015021878,0.12453072,211,-0.001250173,0.167967046,209,-0.00316613,0.138100035,594124,0.005300315,-0.056689625,415192,-0.206337727,-0.039724532,365985,-0.248170376,-0.072760294,654142,-0.183766144,-0.220470975,1.101019108,-0.255032038,-0.231327365,25,2,-6,1.004901458,-0.001448039,0.011051227,0.429074031,-0.015037391,0.090328492,0.072399499,-0.026800851,-0.009236898,0.414473781,-0.035925594,0.025187457,,,9/24/23 14:20
12/1/18,12/31/18,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,245939,-0.009877579,-0.001397016,242472,-0.073039347,0.001209886,211,-0.009693191,0.018710027,215,-0.058771372,0.027823884,46389,-0.089206268,-0.1345368,33560,-0.20371248,-0.064924956,36667,-0.311529513,-0.017221228,157671,-0.09640127,0.160188493,3.398887892,-0.027064008,0.863427139,47,4,1,0.97644721,-0.001323356,-0.002952481,0.165519961,-0.005715336,-0.035706471,0.082881565,-0.041213223,0.019522141,0.271777474,-0.016338574,-0.05450525,,,9/24/23 14:20
1/1/23,1/31/23,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,399698,-0.009112946,0.00967037,423263,0.067949774,0.01940384,207,-0.005368896,0.005120298,218,0.043924923,0.007891223,212612,-0.285868426,-0.309435111,210765,-0.010433883,-0.284905089,291717,0.39717858,-0.138858733,725222,-0.051367908,0.599784074,3.411009092,0.843196646,1.938608439,52,7,26,0.978244677,-0.002352536,-0.027702148,0.213091376,-0.01920238,-0.228201832,0.176785878,0.029954591,0.105672907,0.358025138,0.090386724,-0.164774163,,,9/24/23 14:20
4/1/17,4/30/17,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,271232,0.026120022,0.073845281,299895,-0.003501339,0.054512682,137,0.022787578,0.070913052,144,0.002455781,0.049614186,393095,-0.028602967,-0.021220981,378420,0.04600067,-0.002895286,565155,-0.049759562,-0.063394609,1264291,0.044332702,-0.109787544,3.21624176,0.224620703,-0.319981459,42,-11,-8,0.98522025,0.003922842,0.003453392,0.269136277,0.030517545,0.020153951,0.113199343,-0.001258658,-0.007273758,0.448358031,-0.015194121,0.020942113,,,9/24/23 14:20
12/1/18,12/31/18,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,278266,-0.005089297,0.022206738,270864,-0.045442935,0.02396522,151,-0.01283062,0.029365815,150,-0.039087158,0.034896671,429744,-0.072450488,-0.107393053,284850,-0.202194542,-0.046940537,310022,-0.315543368,-0.022818679,1383024,-0.109094645,0.091264826,3.218248398,-0.132370963,0.585861824,51,5,1,0.977717683,-0.001528352,-0.002486635,0.192311528,-0.012867746,-0.021345631,0.098267863,-0.048652115,0.020693161,0.269476432,-0.017225882,-0.038558623,,,9/24/23 14:20
3/1/14,3/31/14,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,186456,0.061657105,0.137132654,203482,0.01999098,0.118869438,159,0.037255862,0.126150674,174,0.005564386,0.115458095,47461,0.257906131,-0.057953318,41714,0.340540025,0.073100882,78048,0.258510289,0.12794882,212389,0.048332951,0.02776046,4.475011179,-0.894603495,0.373209645,63,-8,-5,0.970692601,0.001318188,-0.001121956,0.178933559,0.005480449,-0.039173588,0.062848595,0.004621268,0.015344264,0.375367418,0.004637781,-0.011436847,,,9/24/23 14:20
4/1/14,4/30/14,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,203959,0.019723555,0.098980875,216532,0.043215566,0.081159393,132,0.023579191,0.1079537,137,0.03712873,0.061088992,37193,0.14322751,0.009021198,38551,0.240826562,0.101886582,59290,0.07030744,0.048528691,139010,0.02988931,0.0274527,3.737484156,-0.411306073,0.06704683,48,-10,-3,0.980850154,0.002939771,-0.001666899,0.229078837,0.015369992,-0.02898988,0.08312093,0.015321276,0.029328599,0.395496577,-0.044437329,-0.045277437,,,9/24/23 14:20
1/1/17,1/31/17,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,247145,-0.03039717,0.079666935,267576,0.088531591,0.05358318,136,-0.009008751,0.079082727,143,0.067627735,0.060443749,356223,-0.274570426,0.05556941,296246,0.012330814,0.126107324,504753,0.528603376,0.016312836,1424022,-0.008772483,-0.116432777,3.997549594,1.071944069,-0.778194635,59,5,-6,0.975225807,-0.001370482,0.003392128,0.197942539,-0.004985229,0.012426332,0.104157487,0.024118116,-0.002356784,0.380936535,0.095449237,0.035066464,,,9/24/23 14:20
